#,stage,column,change made,rows/cells affected,why,what is lost,how to reverse
1,3: PDF extraction,asset,Parsed asset_raw into asset,7601,Separate the displayed asset from ticker and nearby PDF text for analysis,Parsed field loses formatting/context; asset_raw retains extracted text and the PDF retains original layout.,Restore asset from asset_raw to recover the retained extracted text; inspect original_pdf_url for original layout.
2,3: PDF extraction,transaction_type,Parsed transaction_type_raw into transaction_type,2731,Isolate the P/S/E transaction code from adjacent PDF text,Parsed field loses formatting/context; transaction_type_raw retains extracted text and the PDF retains original layout.,Restore transaction_type from transaction_type_raw to recover the retained extracted text; inspect original_pdf_url for original layout.
3,3: PDF extraction,transaction_date,Parsed transaction_date_raw into transaction_date,7667,Convert source-like date text to an ISO date for chronological checks,Parsed field loses formatting/context; transaction_date_raw retains extracted text and the PDF retains original layout.,Restore transaction_date from transaction_date_raw to recover the retained extracted text; inspect original_pdf_url for original layout.
4,3: PDF extraction,ticker,Extracted ticker candidates from asset text,6923,Source PDF asset text can contain a parenthetical stock symbol.,No raw text lost; asset_raw remains alongside ticker.,Drop the derived ticker to undo extraction; asset_raw and original_pdf_url retain its source evidence.
5,3: PDF extraction,amount_status,Classified amount as valid_range,7657,Two source dollar values match a recognized disclosure band.,Raw amount text remains in amount_raw; numeric bounds may be absent when uncertain.,Drop amount classification/bound fields to undo derivation; amount_raw and original_pdf_url preserve source evidence.
6,3: PDF extraction,amount_status,Classified amount as nonstandard_exact,8,The source displays a nonstandard exact amount rather than a standard band.,Raw amount text remains in amount_raw; numeric bounds may be absent when uncertain.,Drop amount classification/bound fields to undo derivation; amount_raw and original_pdf_url preserve source evidence.
7,3: PDF extraction,amount_status,Classified amount as missing_range_bound,2,The source range cannot safely supply both numeric bounds.,Raw amount text remains in amount_raw; numeric bounds may be absent when uncertain.,Drop amount classification/bound fields to undo derivation; amount_raw and original_pdf_url preserve source evidence.
8,4: ticker resolver,ticker_parse_status,Classified ticker as accepted,6830,A source-structured ticker candidate was accepted.,No source evidence lost; V8.1 ticker and asset are retained.,Drop the resolver classification fields; restore ticker/asset values from ticker_v8_1 and asset_v8_1 if needed.
9,4: ticker resolver,ticker_parse_status,Classified ticker as not_applicable,837,"The row is not a stock asset, so stock ticker resolution does not apply.",No source evidence lost; V8.1 ticker and asset are retained.,Drop the resolver classification fields; restore ticker/asset values from ticker_v8_1 and asset_v8_1 if needed.
10,4: ticker resolver,six V8.1 audit columns,Preserved original fields next to resolved values,46002,Readers need a reversible before/after record.,Nothing; columns are added copies.,Drop the six *_v8_1 columns to reverse this addition.
11,P2: audit,raw_date_has_extra_text,Flagged non-standalone source date text,640,Adjacent PDF text may be attached to a date and needs source review.,Nothing; original transaction_date_raw remains unchanged.,Remove the flag; compare original text with the source PDF.
12,P2: audit,raw_date_prefix,Extracted leading date token for checking,7667,Check whether the V8.1 date agrees with the visible leading date despite extra text.,Nothing; source-like text remains in transaction_date_raw.,Drop this derived column; extract again from transaction_date_raw.
13,P2: audit,date_prefix_disagrees,Flagged parsed date disagreements,0,Any disagreement between source-like date prefix and normalized date warrants source review.,Nothing; both original and normalized dates remain.,Remove the derived flag and recompute from the two date fields.
14,P2: preservation,"amount_exact_before_p2, amount_status_before_p2",Saved pre-P2 values,15334,An individual correction must be reversible without rerunning the parser.,Nothing; two copies added.,Restore amount_exact and amount_status from these columns; then drop the two backup columns if desired.
15,P2: manual retention,transaction_date,Retained 2025-01-13,1,PDF page 4 places 01/13/2025 in the transaction-date cell; 01/17/25 belongs to the option description.,"Nothing; no values or rows changed. Count is rows reviewed, not modifications.","No transformation to reverse; compare filing 20024346, rows 27 and the preserved PDF. Original flags remain."
16,P2: manual retention,transaction rows,Retained both similar rows,2,"PDF page 1 lists 15,000 units and 5,000 units separately; matching asset/date/band alone is insufficient for deletion.","Nothing; no values or rows changed. Count is rows reviewed, not modifications.","No transformation to reverse; compare filing 20026517, rows 3, 4 and the preserved PDF. Original flags remain."
17,P2: manual retention,amount_exact,Retained exact 800.0 and blank range bounds,1,PDF page 2 explicitly reports $800.00; inventing a disclosure range would lose precision.,"Nothing; no values or rows changed. Count is rows reviewed, not modifications.","No transformation to reverse; compare filing 20027995, rows 8 and the preserved PDF. Original flags remain."
18,P2: manual correction,"amount_exact, amount_status","Set 2000.0 and nonstandard_exact (one row, two cells)",2,"PDF page 1 explicitly reports $2,000.00. Leaving it unknown discards readable evidence; inferring a range invents a bound.","Nothing; raw text, PDF, prior values and original review flags remain.","For filing 20033320 row 1, restore amount_exact from amount_exact_before_p2 and amount_status from amount_status_before_p2."
19,4: resolver schema,"asset_changed_by_ticker_resolver, ticker_candidate_raw, ticker_changed, ticker_parse_status, ticker_validation_source",Added resolver decision metadata; renamed asset/ticker to *_v8_2_cleaned,38335,Keep decisions inspectable and distinguish resolved display values from preserved inputs.,Nothing; asset_v8_1 and ticker_v8_1 retain pre-resolver text.,"Drop these resolver-only metadata columns, rename asset_v8_2_cleaned to asset and ticker_v8_2_cleaned to ticker; use *_v8_1 values to undo any value changes."
